,ADRA1,ADRA1A,ADRA1B,ADRA2,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,CHRM,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,DRD1,DRD2,DRD3,DRD4,DRD5,HERG,HRH1,HRH2,HRH3,HRH4,HTR1,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2,HTR2A,HTR2B,HTR2C,HTR3A,HTR5A,HTR6,HTR7,NAT,SLC6A3,SLC6A4
Amisulpride,,5.0,5.0,,6.21645371772965,6.3325470471100465,5.897566294318664,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,8.522878745280337,8.013228265733755,5.703334809738469,5.0,,5.0,5.0,,5.0,,5.169218924393639,5.758453519403451,5.872571222148401,5.0,,,5.344381416458778,7.361510743045363,5.0,5.0,5.0,5.559878396812196,7.455931955649724,5.0,5.0,5.0
Aripiprazole,7.520000000000002,7.590066876668706,7.458420756053419,7.149999999999999,7.129888844635599,6.991399828238082,7.420788219768501,6.85078088734462,6.787812395596042,,5.168770306132936,5.454692883534176,5.3300326300914955,5.818013575519849,5.63292375773125,6.412289034981089,8.838655270618785,8.508638306165727,6.347248495555184,5.775725985705742,,7.579695246813368,5.0,,5.0,,8.2518119729938,6.079354998593212,7.167491087293763,5.096910013008056,,,8.060480747381382,9.443697499232712,7.1249387366083,6.2020403562628035,5.906578314837765,6.406713932979542,7.987162775294828,5.679542131083351,5.492144128304169,5.966576244513051
Asenapine,8.958607314841775,8.356547323513812,8.4089353929735,7.795880017344075,7.978810700930062,8.252199909135632,7.812479279163537,5.301029995663981,5.301029995663981,5.154901959985743,6.106793246940152,6.0385789059335515,5.4905286478974515,5.0,6.565431095965801,8.537602002101044,8.713319030645069,8.744727494896694,8.744727494896694,7.6439741428068775,,8.325138859262188,8.638272163982407,,5.0,,7.903089986991944,8.2839966563652,8.136677139879543,7.42712839779952,,,9.55284196865778,9.67778070526608,9.619788758288394,6.406935568341282,6.326518302926653,8.995678626217357,9.211124884224583,5.0,5.5036239459875995,5.259637310505756
Brexpiprazole,,7.619788758288394,7.173374575888774,,7.4089353929735005,6.8696662315049934,7.910271466925264,6.1555228242543185,5.0,,,,,,,5.0,7.695724949522872,7.808269606637143,7.721246399047171,6.3325470471100465,,7.889410289700751,6.437707135543525,,,,9.214670164989233,6.437707135543525,7.638272163982407,5.0,,,8.66054855869356,8.795880017344075,7.5376020021010435,6.122628654130226,6.211831628858833,6.931814138253839,8.18045606445813,4.740899939932051,5.744968836654449,6.607303046740334
Cariprazine,,6.421360790031928,6.013676222949234,,7.055517327849832,6.1938200260161125,5.910448117113546,6.488116639021126,,,,,,5.867740310468956,5.0,5.42608455957845,9.161150909262744,8.96157855435754,5.980053318321158,,,7.782516055786094,6.1487416512809245,,,,8.657577319177793,6.033389013318065,6.528708288941061,,,,7.552841968657781,9.190440285364732,6.562249437179612,,5.635261444944601,6.068542129310995,7.183758700008217,,,5.444059562181489
Chlorpromazine,8.585026652029182,9.55284196865778,9.09151498112135,6.1249387366083,6.735182176990463,7.568636235841013,7.337242168318426,5.0,5.0,7.150519162756014,7.443697499232713,6.667561540084395,7.2441251443275085,7.3979400086720375,7.376750709602099,6.982966660701219,8.455931955649724,8.522878745280337,7.7447274948966935,6.876148359032914,,8.290306130272208,6.7594507517174005,4.680498071881376,5.296880653763922,5.491362562424105,5.514633534291677,5.827105302247824,6.3448615651886175,6.46344155742847,,8.853871964321762,8.556737012541305,,7.6020599913279625,6.057186862328598,6.928117992693875,7.715586796241113,7.5052796681238725,5.612076533026563,5.2314432596897795,5.8873949984654255
Clozapine,8.045757490560675,8.795880017344075,8.154901959985743,7.284382303200648,6.847711655616943,7.576754126063192,7.605548319173784,5.1249387366083,5.234704070301944,7.978810700930062,8.739999999999997,7.183174363477801,7.6020599913279625,7.721246399047171,7.730487055782084,6.707743928643524,6.860120913598763,6.616184634019569,7.414539270491499,6.6020599913279625,,8.742357314860957,6.815308569182402,5.0,6.292429823902063,5.748189069314208,6.853871964321762,6.281498311132726,6.278189384787454,6.015022873584507,6.886056647693163,8.801342913045577,8.145390361904205,8.1331221856625,7.769551078621726,7.09,5.614661892190945,7.9799999999999995,7.648010544564368,5.499214827082544,5.0,5.789413975094844
Fluphenazine,8.041436116778032,8.190440285364732,7.886056647693163,5.809668301829708,6.503001202259908,7.087246696328677,7.539102157243452,5.0,5.0,5.722758774084215,5.66444817254516,5.330183009860171,5.841336019186011,5.274006741075278,6.447331783887807,7.647817481888637,9.244125144327509,9.522878745280337,7.366531544420414,7.853871964321762,,7.6777807052660805,6.251811972993799,4.893688572020434,4.769700179751517,5.0,6.83654044823001,6.476253533188435,6.476253533188435,6.267606240177032,,6.72429715055179,7.935953881849803,,6.0076674409525355,5.0,6.838631997765025,7.42021640338319,8.096910013008056,5.5120136688706065,5.232909333003439,5.22548303427145
Haloperidol,8.204119982655925,7.920818753952375,8.096910013008056,5.744595133227496,5.94692155651658,6.318758762624412,6.259637310505756,5.0,5.1249387366083,5.0,5.795880017344075,5.0,5.0,5.0,5.273395029886437,7.080921907623926,8.73282827439547,8.377785977033705,8.480742394440037,6.8326826652518236,,6.08588488401472,5.998699066979582,4.0,4.259637310505756,5.556303716793539,5.624350594580504,6.568636235841013,5.118843678924437,5.1249387366083,5.301029995663981,7.447210149807218,7.050609993355087,5.847711655616943,5.327902142064283,5.038160530437834,5.648396927580871,5.221848749616356,6.300006268210498,5.419531216048998,5.207649187976246,5.7447274948966935
Iloperidone,9.508638306165727,,,8.522878745280337,6.790484985457369,6.790243777741142,7.790350964631771,5.0,5.0,5.2636919593697415,5.309981219211305,5.4800408192479315,5.0,5.079981083971085,5.0,6.88831751291888,8.008773924307505,7.976747540366288,7.6701954778359305,6.496209316942819,,7.910094888560602,,,,,7.2003149090909,7.026595025589939,7.903089986991944,,,,9.698970004336019,7.568636235841013,7.35261702988538,5.16992483357025,6.3260580013659125,6.993277307798316,7.2225731776106885,5.830031826003108,5.5300307905000405,
Loxapine,7.552841968657781,7.508638306165727,7.275724130399211,5.6232497246926,6.82131076022441,6.96738123914928,7.097181531917746,5.0,5.0,6.344602218945575,6.949999999999986,6.280000000000002,6.913640169325252,5.897566294318664,6.779891911959945,7.328777540098022,7.698970004336019,7.667561540084395,8.10790539730952,7.1249387366083,,8.301029995663981,6.681936665037238,4.260000000000003,5.162486184147144,5.5314798724911665,5.589430703977156,6.411168274405793,5.459920911195828,5.854182285508172,,8.772113295386326,8.602059991327963,,7.877784121727173,6.720622752387455,6.110138278741812,7.501003959342702,7.059483515067432,5.2442775550965415,5.009884880917304,5.0
Lurasidone,7.319664486585437,,,,7.39040559077478,,7.966576244513051,,,,,,,,,,8.774690718274137,,,,,,,,,,8.170696227168975,,,,,,8.692503962086787,,,,,,9.30539480106643,,,
Molindone,5.6020599913279625,5.583026827396964,,6.204119982655925,5.959793372425289,6.253521490069969,6.762959208620809,,,5.0,3.5499999999999927,3.350000000000003,5.0,,,5.14,7.756961951313706,7.42021640338319,5.619788758288394,,,5.0,,,,5.91908143645646,5.501077286075818,,,,,5.301029995663981,5.2839966563652006,,5.0,,,5.998266287190999,5.517630167142496,,4.0,
Olanzapine,7.263786468325537,6.950781977329818,6.580044251510242,6.552841968657781,6.502932063601495,7.086186147616283,7.255707016877324,5.1249387366083,5.0,7.661543506395395,8.327902150876527,7.057991946977687,7.107905397309519,7.494850021680094,8.045757490560675,7.2839966563652006,7.6777807052660805,7.350000000000003,7.552841968657781,7.086186147616283,5.220908796154501,8.623949925926697,7.356547323513813,4.0,4.869948831595027,,5.685500772026848,6.180456064458132,6.096367483915762,5.655804284128565,6.508638306165727,,8.481486063259807,7.928117992693875,7.97402006925533,6.903089986991944,5.889915577113077,8.070581074285707,6.683055564593409,5.0,5.0,5.434624497285927
Paliperidone,7.995678626217358,8.602059991327963,9.154901959985743,7.096910013008056,7.522878745280337,7.478861916295964,8.133712660915805,5.1249387366083,5.1249387366083,5.055517327849832,5.0,5.0,5.0,5.0,5.0,7.386845562240735,8.462180904926726,9.045757490560675,7.375202421039239,7.5376020021010435,,8.251037138743838,6.916497380169733,,5.0605805966706825,,6.229147988357856,7.181444220702198,7.721246399047171,5.258848401148215,,,9.0,7.398700689805662,7.366531544420414,5.0,6.452286813768297,5.810369342307845,8.560667306169737,5.0,5.0,5.62736411941828
Perphenazine,8.0,8.0,,6.301029995663981,6.091246980815466,6.979224511806442,7.069560405233299,,,5.824991482777964,5.770000000000011,5.540000000000001,5.733298033115912,,,7.549999999999993,9.036212172654444,9.638272163982407,7.494850021680094,,,8.096910013008056,,4.339999999999995,4.0,5.4471590736502264,5.91788591515219,,,,,8.255707016877324,8.2518119729938,,6.87942606879415,5.899999999999989,,7.769775481305758,7.639135222719595,,5.890000000000011,
Pimozide,6.9705382461394,6.703993330686328,,6.124609365730395,5.797784224198868,6.085603947870214,6.42423501946328,,,6.096910013008056,,,5.708853238268114,,,5.110826959098557,8.816730156317195,9.4089353929735,7.767520198008947,,7.7447274948966935,6.449999999999995,,,,,6.2843955782358085,,5.508638306165727,,,,7.551652987831312,,6.058488567365597,5.529999999999998,,7.149370369889522,9.300514692483068,,7.1599999999999975,
Quetiapine,7.823908740944319,7.657577319177793,7.045757490560675,6.0,5.440093374963888,6.126912014409714,7.5376020021010435,5.1249387366083,5.1249387366083,5.853871964321762,6.920818753952375,6.200000000000002,5.787412921876106,6.221125527997261,5.52432881167557,6.129999999999998,6.301029995663981,6.468521082957745,5.699484696819084,5.7599502278873524,5.239200688369282,8.06,5.28095889213014,,5.0,,6.509999999999999,5.801480369758832,5.301029995663981,5.73849922680172,5.649751981665837,,6.698970004336019,7.0655015487564325,5.849999999999986,5.363512103646634,5.567030709125595,5.739809316730037,6.511449283499556,5.0,5.0,5.0
Risperidone,8.847711655616944,8.301029995663981,8.045757490560675,8.183758700008218,7.7363639314118915,6.96818772866963,8.211124884224583,5.1249387366083,5.1249387366083,5.0,5.080740523432774,5.0924287639376455,5.0,5.0,5.0,6.403402904373539,8.568636235841012,8.090178611799749,8.069999999999999,6.538351431936545,6.777283528852417,7.721246399047171,6.920818753952375,4.0,4.259637310505756,,6.379863945026242,7.434093177932342,7.743282254022513,5.247183568811729,5.906578314837765,,9.537602008349381,7.455931955649724,7.619788758288394,5.038160530437834,6.698145627730414,5.7471281046201135,8.4089353929735,5.0,5.0,5.853871964321762
Sertindole,7.881285478178576,8.744727494896694,,6.524779115163252,6.1938200260161125,6.346787486224656,6.346787486224656,5.301029995663981,5.301029995663981,5.301029995663981,6.200000000000002,,5.5699249444480605,,,7.699999999999996,8.568636235841012,8.522878745280337,7.820000000000002,,8.522878745280337,6.7132746178585565,,,,,6.552841968657781,6.55206713440782,7.698970004336019,5.059209677145951,6.443697499232713,,9.489999999999998,8.853871964321762,8.903089986991944,5.568694333838539,6.292429823902063,8.270000000000001,7.549999999999993,,6.699999999999996,6.0
Sulpiride,4.430000000000003,,,4.3199999999999985,,,,,,,,,,,,5.0,7.958607314841775,8.086186147616283,5.950440565329764,,,4.14,,,,,5.0,,,,,,5.3199999999999985,,,5.0,,5.300000000000002,5.300000000000002,,5.0,
Thioridazine,8.301029995663981,8.5016894462104,8.619788758288394,6.096910013008056,6.872409322992042,6.466418574941294,7.125518182300533,5.0,5.0,7.746540835660162,8.339298490087545,7.695696070234608,7.5376020021010435,8.045757490560675,7.886056647693163,7.050609993355087,7.9795396456636905,8.657577319177793,7.880266980238718,6.58838029403677,6.718966632752273,7.792634962530928,6.866461091629782,4.939999999999993,5.09141197852426,6.4624075524826585,6.743041847439068,6.962573502059376,6.2373214362725635,6.7121982700697735,,7.653255945395151,7.886056647693163,,7.275724130399211,5.248403393772644,6.438898616350944,7.243363891754152,7.00436480540245,6.0746879085003505,5.810153645591391,5.899974269892137
Trifluoperazine,7.621602099051862,7.619788758288394,,5.582397954977294,6.184621515034082,6.786216700664696,6.407268233606038,,,6.17827036069977,,,5.999565922520682,,,,8.886056647693163,,6.995678626217358,,,7.204119982655925,,,,5.0,6.022276394711152,,,,,7.851397345193907,7.792634962530928,,6.422508200162775,,,6.841637507904751,6.536405597812999,,,
Ziprasidone,7.998278013217229,7.7447274948966935,8.045757490560675,6.642069751173669,6.795880017344075,7.318758762624412,7.113509274827518,5.2016947179780235,5.1249387366083,5.61261017366127,5.292429823902063,5.522878745280337,5.0,5.236572006437063,5.236572006437063,6.886056647693163,8.387216143280265,8.138335391977321,7.494850021680094,6.818156412055227,6.772113295386326,7.3478817699587475,5.455931955649724,,5.0,,8.599999999999996,8.397940008672037,8.425968732272281,6.086451042093482,,,9.408935400938415,7.800930803748258,9.045757490560675,5.470441326978837,6.528708288941061,7.215026290045599,8.179999999999998,7.356547323513813,5.297747967799361,6.950781977329818
Zotepine,8.162520708052897,8.154901959985743,8.301029995663981,6.811317608616777,6.7447274948966935,8.271646217978772,6.97469413473523,5.153662887870195,5.211124884224583,6.481486060122113,7.739999999999996,6.849999999999986,5.297871161713119,5.297698737102654,5.289882634888183,7.3074073582197965,8.096910013008056,8.193820026016112,7.65999999999999,6.605548319173784,,8.580883547584968,6.301029995663981,,5.703993330686328,,6.499999999999997,7.173925197299173,7.14569395819892,5.966576244513051,,,8.58250605356161,8.920818753952375,8.494850021680094,6.370000000000003,7.088842391260023,8.221848749616356,8.022276394711152,6.275724130399211,5.525402888592256,6.239954672034189
